City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Dicamay,PH,78.96,overcast clouds,16.76,122.0,
456,Bolobo,CD,76.55,light rain,-2.17,16.23,
457,Xuanzhou,CN,84.79,clear sky,30.95,118.76,Nanfang Hotel
459,Yatou,CN,78.49,overcast clouds,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
460,Kununurra,AU,75.2,clear sky,-15.77,128.73,Hotel Kununurra
461,Andros,GR,77.0,clear sky,37.83,24.93,Micra Anglia Hotel - Andros
463,Destin,US,89.6,clear sky,30.39,-86.5,Inn On Destin Harbor
466,Bac Lieu,VN,80.94,moderate rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
471,Wewak,PG,82.13,clear sky,-3.55,143.63,In Wewak Boutique Hotel
472,Kouqian,CN,75.74,overcast clouds,43.64,126.46,Guotai Bathing Hotel
475,Cagliliog,PH,81.86,light rain,13.9,123.29,
477,Culebra,PR,84.2,broken clouds,18.3,-65.3,Palmetto Guesthouse
482,Davila,PH,77.0,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
483,Pizarro,CO,77.95,moderate rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
484,Meulaboh,ID,76.62,scattered clouds,4.14,96.13,Kost Pria
486,Navrongo,GH,77.45,scattered clouds,10.9,-1.09,Azakka Hotel
490,Mahibadhoo,MV,82.81,overcast clouds,3.78,72.97,Omadhoo Inn
492,Balabac,PH,81.3,light rain,7.99,117.06,Sing and Swing Lodge
493,Ligayan,PH,82.69,light rain,4.65,119.47,
494,Mandali,IQ,83.91,clear sky,33.75,45.55,بيت خالد امين
495,Santa Lucia,ES,77.0,few clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
498,Dingle,PH,79.84,overcast clouds,11.0,122.67,Camp Pasica
502,Pandan,PH,82.78,overcast clouds,14.05,124.17,Bonifacio Lodge
506,Nara,JP,89.6,scattered clouds,34.69,135.8,Guesthouse Nara Komachi
507,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
508,Hobbs,US,78.8,clear sky,32.7,-103.14,Best Western Executive Inn
512,Oistins,BB,78.8,light rain,13.07,-59.53,Butterfly Beach Hotel
517,Callaguip,PH,77.0,broken clouds,18.07,120.49,Pangil Beach Resort
518,Ipora,BR,78.28,scattered clouds,-16.44,-51.12,Oásis Motel
525,Cururupu,BR,75.56,scattered clouds,-1.83,-44.87,Pousada Través'cia
