City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Rafaela,AR,2020-08-16 23:06:11,-31.25,-61.49,57.0,30,0,1.99
270,Lompoc,US,2020-08-16 23:07:24,34.64,-120.46,80.6,54,1,16.11
271,Tramore,IE,2020-08-16 23:05:51,52.16,-7.15,63.0,91,100,4.09
272,Komsomolskiy,UZ,2020-08-16 23:07:58,40.43,71.72,78.8,36,21,11.41
273,Raga,SS,2020-08-16 23:07:58,8.46,25.68,70.9,95,100,3.94
274,Portel,BR,2020-08-16 23:07:58,-1.94,-50.82,85.19,53,69,2.28
275,Tamworth,GB,2020-08-16 23:07:58,52.63,-1.7,60.8,100,90,5.82
276,Pevek,RU,2020-08-16 23:07:59,69.7,170.31,41.07,83,21,16.26
277,Itarema,BR,2020-08-16 23:07:59,-2.92,-39.92,77.97,77,75,15.35
278,Xai-Xai,MZ,2020-08-16 23:07:59,-25.05,33.64,67.55,77,53,16.8
279,San Patricio,MX,2020-08-16 23:07:59,19.22,-104.7,86.0,74,20,11.41
280,Iqaluit,CA,2020-08-16 23:08:00,63.75,-68.51,46.4,93,20,18.34
281,Liverpool,GB,2020-08-16 23:08:00,53.41,-2.98,60.01,65,100,9.42
282,Kasama,ZM,2020-08-16 23:08:00,-10.21,31.18,54.79,51,71,3.94
283,Pula,HR,2020-08-16 23:08:00,44.87,13.85,69.8,83,31,1.12
284,Yelizovo,RU,2020-08-16 23:08:01,53.19,158.38,62.6,77,20,4.47
285,Adre,TD,2020-08-16 23:08:01,13.47,22.2,73.45,75,100,8.48
286,Fernie,CA,2020-08-16 23:08:01,49.5,-115.07,93.2,18,20,6.93
287,Karasburg,NA,2020-08-16 23:08:02,-28.02,18.75,44.17,52,0,13.22
288,Deep River,CA,2020-08-16 23:08:02,46.1,-77.5,66.99,93,75,2.98
289,Balkanabat,TM,2020-08-16 23:08:02,39.51,54.37,79.65,23,5,10.85
290,Flin Flon,CA,2020-08-16 23:08:02,54.77,-101.86,64.4,52,75,10.29
291,Umm Lajj,SA,2020-08-16 23:08:02,25.02,37.27,84.58,62,0,6.06
292,Guerrero Negro,MX,2020-08-16 23:08:03,27.98,-114.06,86.79,46,0,16.78
293,Arcata,US,2020-08-16 23:05:23,40.87,-124.08,75.0,72,1,8.05
294,Vila Franca Do Campo,PT,2020-08-16 23:03:31,37.72,-25.43,73.4,88,75,13.87
295,Maridi,SS,2020-08-16 23:08:03,4.92,29.47,68.27,96,53,2.44
296,Marsabit,KE,2020-08-16 23:08:03,2.33,37.99,64.22,79,23,20.22
297,Sulgen,CH,2020-08-16 23:08:04,47.54,9.19,69.8,68,100,4.7
298,Kampene,CD,2020-08-16 23:08:04,-3.6,26.67,74.01,62,82,1.3
299,Hays,US,2020-08-16 23:08:04,30.05,-98.03,102.99,29,65,1.01
300,Bandarbeyla,SO,2020-08-16 23:08:05,9.49,50.81,75.42,78,16,30.4
301,Talnakh,RU,2020-08-16 23:08:05,69.49,88.4,57.2,58,72,6.71
302,Faanui,PF,2020-08-16 23:06:06,-16.48,-151.75,77.65,71,1,12.24
303,San Cristobal,VE,2020-08-16 23:08:05,7.77,-72.22,86.0,55,40,11.41
304,Matara,LK,2020-08-16 23:08:05,5.95,80.54,76.46,89,97,7.14
